ID,대출등급
TEST_00000,B
TEST_00001,C
TEST_00002,A
TEST_00003,B
TEST_00004,B
TEST_00005,A
TEST_00006,B
TEST_00007,C
TEST_00008,B
TEST_00009,C
TEST_00010,C
TEST_00011,C
TEST_00012,B
TEST_00013,C
TEST_00014,B
TEST_00015,B
TEST_00016,C
TEST_00017,B
TEST_00018,B
TEST_00019,C
TEST_00020,B
TEST_00021,B
TEST_00022,C
TEST_00023,D
TEST_00024,A
TEST_00025,B
TEST_00026,A
TEST_00027,D
TEST_00028,C
TEST_00029,A
TEST_00030,B
TEST_00031,B
TEST_00032,A
TEST_00033,B
TEST_00034,B
TEST_00035,B
TEST_00036,B
TEST_00037,B
TEST_00038,B
TEST_00039,E
TEST_00040,F
TEST_00041,C
TEST_00042,B
TEST_00043,C
TEST_00044,C
TEST_00045,D
TEST_00046,F
TEST_00047,E
TEST_00048,A
TEST_00049,F
TEST_00050,B
TEST_00051,C
TEST_00052,B
TEST_00053,B
TEST_00054,B
TEST_00055,C
TEST_00056,A
TEST_00057,B
TEST_00058,B
TEST_00059,C
TEST_00060,C
TEST_00061,B
TEST_00062,B
TEST_00063,C
TEST_00064,C
TEST_00065,F
TEST_00066,C
TEST_00067,B
TEST_00068,B
TEST_00069,F
TEST_00070,B
TEST_00071,B
TEST_00072,B
TEST_00073,F
TEST_00074,C
TEST_00075,C
TEST_00076,C
TEST_00077,A
TEST_00078,B
TEST_00079,C
TEST_00080,B
TEST_00081,F
TEST_00082,A
TEST_00083,B
TEST_00084,B
TEST_00085,C
TEST_00086,C
TEST_00087,B
TEST_00088,B
TEST_00089,C
TEST_00090,B
TEST_00091,F
TEST_00092,C
TEST_00093,B
TEST_00094,B
TEST_00095,D
TEST_00096,B
TEST_00097,D
TEST_00098,B
TEST_00099,B
TEST_00100,B
TEST_00101,B
TEST_00102,B
TEST_00103,C
TEST_00104,C
TEST_00105,B
TEST_00106,C
TEST_00107,F
TEST_00108,B
TEST_00109,E
TEST_00110,B
TEST_00111,A
TEST_00112,C
TEST_00113,B
TEST_00114,C
TEST_00115,B
TEST_00116,B
TEST_00117,B
TEST_00118,B
TEST_00119,F
TEST_00120,C
TEST_00121,B
TEST_00122,C
TEST_00123,C
TEST_00124,C
TEST_00125,B
TEST_00126,E
TEST_00127,B
TEST_00128,A
TEST_00129,C
TEST_00130,C
TEST_00131,A
TEST_00132,B
TEST_00133,B
TEST_00134,B
TEST_00135,B
TEST_00136,B
TEST_00137,C
TEST_00138,C
TEST_00139,F
TEST_00140,C
TEST_00141,B
TEST_00142,B
TEST_00143,D
TEST_00144,B
TEST_00145,B
TEST_00146,D
TEST_00147,C
TEST_00148,A
TEST_00149,A
TEST_00150,D
TEST_00151,C
TEST_00152,F
TEST_00153,E
TEST_00154,C
TEST_00155,C
TEST_00156,B
TEST_00157,D
TEST_00158,E
TEST_00159,B
TEST_00160,B
TEST_00161,B
TEST_00162,E
TEST_00163,F
TEST_00164,B
TEST_00165,F
TEST_00166,B
TEST_00167,E
TEST_00168,F
TEST_00169,F
TEST_00170,D
TEST_00171,D
TEST_00172,E
TEST_00173,A
TEST_00174,C
TEST_00175,B
TEST_00176,B
TEST_00177,C
TEST_00178,A
TEST_00179,B
TEST_00180,B
TEST_00181,C
TEST_00182,B
TEST_00183,A
TEST_00184,A
TEST_00185,B
TEST_00186,B
TEST_00187,A
TEST_00188,C
TEST_00189,G
TEST_00190,C
TEST_00191,E
TEST_00192,C
TEST_00193,D
TEST_00194,B
TEST_00195,C
TEST_00196,B
TEST_00197,B
TEST_00198,B
TEST_00199,A
TEST_00200,B
TEST_00201,B
TEST_00202,A
TEST_00203,B
TEST_00204,B
TEST_00205,C
TEST_00206,C
TEST_00207,B
TEST_00208,B
TEST_00209,D
TEST_00210,F
TEST_00211,B
TEST_00212,B
TEST_00213,B
TEST_00214,A
TEST_00215,B
TEST_00216,B
TEST_00217,B
TEST_00218,F
TEST_00219,C
TEST_00220,A
TEST_00221,B
TEST_00222,B
TEST_00223,C
TEST_00224,B
TEST_00225,A
TEST_00226,F
TEST_00227,F
TEST_00228,C
TEST_00229,C
TEST_00230,A
TEST_00231,F
TEST_00232,D
TEST_00233,A
TEST_00234,B
TEST_00235,B
TEST_00236,B
TEST_00237,C
TEST_00238,C
TEST_00239,A
TEST_00240,B
TEST_00241,B
TEST_00242,B
TEST_00243,A
TEST_00244,B
TEST_00245,C
TEST_00246,B
TEST_00247,B
TEST_00248,A
TEST_00249,C
TEST_00250,B
TEST_00251,B
TEST_00252,A
TEST_00253,B
TEST_00254,B
TEST_00255,B
TEST_00256,B
TEST_00257,B
TEST_00258,B
TEST_00259,A
TEST_00260,C
TEST_00261,B
TEST_00262,C
TEST_00263,B
TEST_00264,A
